SMILES,BA_predicted,LogP,QED,TPSA,MW,HBD,HBA,RotBonds
O=C1NC(C(=O)c2ccc(Cl)cc2)=C(C(F)(F)F)C=C1c1ccc(-n2c(OCc3ccccc3)nc3ccccc32)cc1,-7.4612,7.863,0.19,76.98,600.0,1,4,7
COc1ccccc1COc1ccc(C(=O)Nc2ccccc2Cn2c(Nc3ccc(F)cc3)cc3c2CCC(C2CCC2)C3)cc1,-7.4424,9.164,0.153,64.52,629.78,2,4,11
CCCCCCCCCCCCCCCCCCCNc1cncc(C(=O)NCCc2ccccc2)c1,-7.4201,9.118,0.147,54.02,507.81,2,3,23
CN(Cc1ccc(Cl)cc1Cl)C(=O)c1ccccc1S(=O)(=O)c1ccc(C(=O)NC2CCN(c3ccc(Cl)cc3)CC2)cc1,-7.3467,7.151,0.215,86.79,671.05,1,5,8
COc1cc(C(=O)CCc2ccc(N(=O)=O)cc2)cc(NC(=O)C2=C(C(=O)O)O2)c1OC,-7.3396,2.692,0.32,157.6,442.38,2,8,10
NS(=O)(=O)c1ccc(C2=C(C(=O)c3ccccc3)C(=O)Sc3ccc(N(=O)=O)cc32)cc1,-7.3255,3.715,0.27,137.44,466.5,1,7,5
O=C1N=C(SCC(=O)c2ccc(F)cc2)NC(c2ccccc2)=C1C1NC(c2ccccc2)=NC1=O,-7.3223,4.169,0.225,104.28,498.54,2,6,7
Cc1ccc(C(=O)NCC2CCN(S(=O)(=O)c3cccc4ccccc34)CC2)c(N(=O)=O)c1,-7.3192,3.887,0.437,109.62,467.55,1,5,6
COc1ccc(N2CCN(CO)CC2)cc1N=C1C(=O)OC(=Nc2ccccc2)SC1=Cc1ccc(OC(C)=O)c(OC)c1,-7.3168,4.792,0.279,122.49,616.7,1,12,8
N=C(Nc1ccc(-c2ccccc2C(C(N)=O)C(=O)O)cc1)Nc1cccc(-c2nc3cc(N4CCc5c(F)cccc54)ccc3n2C2CCCC2)c1,-7.3079,8.431,0.058,149.36,707.81,5,5,9
COC(=O)C1C(COS(=O)(=O)CCCc2ccc(Cl)cc2)C(=O)C(=O)N1c1ccc(Cl)cc1,-7.2768,3.046,0.288,107.05,514.38,0,7,9
COc1cc(-c2ccc(-c3ccc(CN4CCCC(C(=O)O)C4)cc3)cc2)ccc1OCC(O)c1ccccc1,-7.2766,6.438,0.242,79.23,537.66,2,5,10
Cc1ccc2onc(Cc3ccc(N4C(=O)c5ccccc5N=C4N4CCC(NC(=O)CN)C4)cc3)c2c1,-7.2581,3.08,0.362,119.28,508.58,2,7,6
Cc1ccc(C=CC(=O)Oc2ccc(C(=O)Nc3ccc(-c4nc5ccccc5[nH]4)cc3)cc2)cc1,-7.246,6.409,0.17,84.08,473.53,2,4,6
Cc1c(SC2C(=O)CC(C)(C)C2=O)nc(-c2ccccc2Cl)c2ccc(Cl)cc12,-7.2427,6.546,0.43,47.03,444.38,0,4,3
CC(C)CCc1ccc(C=CC(=O)c2ccc(Oc3ccc(S(C)(=O)=O)cc3)nc2)c2c1CCCC2,-7.242,6.641,0.242,73.33,503.66,0,5,9
O=C(Nc1ccc(N2CCOCC2)cc1)C(Cc1cccnc1)Nc1ccc(N2COC3(C4CCCCC4)CCN(Cc4ccccc4)Cc3n2)cc1,-7.2393,6.955,0.173,94.56,713.93,2,9,11
COc1cccnc1Nc1ccc(S(=O)(=O)N2Cc3ccccc3CC2C(=O)NC(Cc2ccccc2)C(O)CNC(C)C)cc1,-7.2326,4.036,0.172,132.89,643.81,4,8,13
Nc1ccc(-c2nn3c(c2CN(C(=O)c2ccccc2)c2ccccc2)C3=O)cc1,-7.2283,3.666,0.461,80.7,394.43,1,4,5
CC(C)(NC(=O)c1cc(C(=O)O)cc(C(=O)O)c1)c1ccc(Cc2ccccc2)cc1,-7.2276,4.339,0.531,103.7,417.46,3,3,7
CCOCC1=C(C)N(Cc2ccc(C(=O)NCCc3ccccc3)cc2)Cs1,-7.2102,4.433,0.681,41.57,396.56,1,4,9
COc1cc(C(=O)C(=Cc2ccccc2)C(=O)N2Cc3ccccc3CC2c2ccccc2Cl)cc(OC)c1OC,-7.1782,6.958,0.1,65.07,568.07,0,5,8
CC1=CC(=O)Oc2ccc(C=CC(=O)OCCOC(c3ccccc3)c3ccccc3Cl)cc21,-7.1723,6.117,0.133,65.74,474.94,0,5,8
Cc1ccccc1C#Cc1ccc(NN=C2CCN(C(=O)c3cnc4ccccc4c3)CC2)cc1,-7.1702,5.647,0.319,57.59,458.57,1,4,3
CC1=C(Oc2ccccc2)C(NC(=O)c2ccc(F)cc2)=C(Cc2ccc(F)cc2)C(=O)C(c2ccccc2)=C1,-7.1648,7.936,0.231,55.4,533.57,1,3,7
COc1cc(C2CN3C(=O)C(COC(=O)Nc4c(C)c5c(c6ccccc46)C=CC(=O)O5)CC23)cc(OC)c1OC,-7.1621,4.843,0.253,116.54,558.59,1,8,7
C=CCc1cccc(-c2ccc(C3=NC4OCN4C(=O)C3)cc2)c1,-7.1618,3.375,0.811,41.9,318.38,0,3,4
Cc1ccc(C2=NN(C(=O)c3cccc(C(=O)NCCCc4ccccc4)c3)C=C2)cc1,-7.1442,4.91,0.43,63.99,423.52,1,3,7
Cc1nc2ccccc2n1S(=O)(=O)N1CCCC1c1nc(-c2ccc(Cl)cc2)sc1-c1cncc(OCCN2CCOCC2)c1,-7.1421,5.825,0.194,102.68,665.24,0,9,9
O=C(c1ccccc1C(F)(F)F)N1CCN(c2cc(COc3ccccc3)nc(Nc3ccc(Oc4ccccc4)cc3)c2)CC1,-7.1418,8.178,0.179,66.93,624.66,1,6,9
COc1ccc(-c2nnn(CCNC(=O)OCC(=O)Nc3ccc(S(C)(=O)=O)cc3)n2)cc1,-7.1236,1.117,0.464,154.4,474.5,2,9,9
Cc1cc(c2nc(OCC(=O)O)ccc2C(=O)NC(=O)c2ccc3c(c2)CCCCC3)ccc1Cl,-7.1211,5.013,0.37,105.59,492.96,2,5,6
COc1ccccc1C(=O)N1CCN(c2nc(N(=O)=O)cc3c2C(OC(C)C)=N3)CC1,-7.1148,2.778,0.535,110.4,425.45,0,8,5
COc1ccc2c(cc1OCCCCCCN1CCOCC1)nc1ccc(C(=O)Nc3ccc(Cl)cc3Cl)cc12,-7.1099,7.179,0.189,72.92,582.53,1,6,11
O=C(Nc1cccc(N(=O)=O)c1)C(Cc1ccccc1)NC(=O)C1Cc2ccccc2NC1=O,-7.101,3.072,0.285,130.44,458.47,3,5,7
COc1cc(C)cc(Cc2cccc(S(=O)(=O)N3CCC(NC(=O)NN=C(C)NC(=O)CCc4ccccc4)CC3)c2)c1,-7.0814,4.129,0.182,129.2,605.76,3,6,10
COc1ccc(C(=O)NN=Cc2ccc(OCC(=O)C=Cc3cc(Cl)cc(Cl)c3)cc2)cc1,-7.0747,5.427,0.25,76.99,483.35,1,5,9
COc1ccc(S(=O)(=O)N2CCN(C(=O)c3ccc4nccc(C(=O)NC(Cc5ccccc5)C(C)(C)C)c4c3)CC2)cc1OC,-7.0717,4.786,0.279,118.14,644.79,1,7,9
Cc1cc(Cc2cccnc2C)ccc1NC(=O)C(C)(C)c1cc2c(cc1C)NC(=O)c1ccccc1-2,-7.0614,6.509,0.276,74.85,489.62,2,3,5
CC(C)c1ccc(Nc2nc(CCCc3ccccc3)nn3cc(-c4ccccc4)nc23)cc1,-7.0581,6.834,0.283,55.11,447.59,1,4,8
CC1=C(C)N(Cc2ccccc2)C(O)=C(c2ccc(C3=NN(C)C(=O)c4c[nH]nc43)cc2)C1=O,-7.0515,3.523,0.433,105.8,453.5,2,5,4
N=C1Nc2ccc(S(=O)(=O)c3ccc(C(=O)NCC4CCOC4)cc3)cc2C(=O)N1c1ccccc1,-7.0496,2.397,0.371,134.11,504.57,3,6,6
O=C(C=Cc1ccc(Cl)cc1)NCc1ccc(-c2nc3ccccc3nc2N(=O)=O)cc1,-7.0455,5.188,0.251,98.02,444.88,1,5,6
CCCCCCCCCc1ncc(C(=O)NC(Cc2ccccc2)C(=O)NNC(=O)Nc2cccc(Cl)c2Cl)cc1S(=O)(=O)N1CCOCC1,-7.0408,5.896,0.105,158.83,747.75,4,7,16
COc1ccc(CC(NC(=O)c2cccc3cccc(Cl)c23)c2cccc(Cl)c2)cc1OCCCO,-7.0347,6.63,0.229,67.79,524.44,2,4,10
CC(C)(C)OC(=O)N(CCOCc1ccccc1)C(c1ccccc1)c1nc2ccc(-c3ccccc3)cc2s1,-7.0282,8.507,0.173,51.66,550.72,0,5,9
O=C1ON=C(C(=O)N2CCN(Cc3ccc(-c4ccccc4)cc3)CC2c2ccccc2)N1c1ccccc1,-7.0266,5.192,0.311,71.58,516.6,0,5,6
CCOCc1cc(Nc2cccc(N(=O)=O)c2)nc(OCC)c1Nc1ccc(S(N)(=O)=O)cc1,-7.0246,4.06,0.268,158.71,487.54,3,9,11
O=C(NN=Cc1ccccc1C(=O)NN=Cc1cccc(C=NO)c1)c1ccccc1,-7.0244,3.023,0.314,115.51,413.44,3,6,7
COc1cc(Nc2ccc(C(=O)c3ccc(OC(C)(C)C)cc3)cc2C)ccc1O,-7.0098,5.861,0.397,67.79,405.49,2,5,6
O=C(CCCOc1cccc2[nH]ncc12)Nc1ccc(C2(O)CN3CCC4C5CCC(C5)C(=O)C432)cc1,-7.0059,3.622,0.428,107.55,500.6,3,6,7
O=C1C(=Cc2ccc(C(=O)O)c(S(=O)(=O)N3CCCCC3)c2)Cc2ccccc21,-6.9991,3.382,0.779,91.75,411.48,1,4,4
O=C(O)CCCC(C(=O)O)C(=O)OCC1CCCN(N=Cc2ccc(OCc3ccccc3)c(O)c2)C1,-6.9942,3.516,0.208,145.96,512.56,3,8,13
O=C(NCCC(=O)N1CCOCC1)c1ccc2c(c1)c1ccccc1n2-c1ccccc1,-6.9847,3.762,0.528,63.57,427.5,1,3,5
COc1cc2c(cc1OCCCl)C(C(=O)C=C(C)c1ccc(C(C)C)cc1)=N2,-6.955,5.543,0.433,47.89,397.9,0,4,8
Cc1ccc(-c2csc(-c3ccc(OCC(=O)N(C)Cc4ccc(Cl)c(Cl)c4)cc3)n2)cc1,-6.9527,7.13,0.273,42.43,497.45,0,4,7
COc1ccc(-c2nc(NC3CCCC3)c(F)c(F)c2C(=O)Nc2cccc3ccccc23)cc1,-6.9506,6.795,0.323,63.25,473.52,2,4,6
Cc1ccc(C(=O)Nc2cccc(Sc3nn(CC(C)C)c(C)c3C)c(Sc3ccccc3)n2C)cc1,-6.9423,7.291,0.331,50.16,530.76,1,5,8
CCc1cc(-c2ccccc2)cc(C=O)c1NC(=O)c1c(C)nn(-c2ccc(CN3CCOCC3)c(C(=O)O)c2)c1C,-6.9412,5.314,0.264,113.76,566.66,2,6,9
CCN(Cc1ccnc(C(N)=S)c1)NC(=O)c1ccc2cc3c(c(F)c2c1)OC(=O)c1ccc(F)c(O)c1NC3=O,-6.9397,3.805,0.088,146.88,577.57,4,8,6
Cc1ccc(C(CNC(=O)CCc2ccc(Oc3ccccc3)cc2)N2CCCCCC2)cc1,-6.9042,6.453,0.402,41.57,456.63,1,3,9
Cc1ccc(C(=O)N2CCN(Cc3ccc(NC(=O)c4ccc(NC(CC=O)Nc5ccccc5)cc4)cc3)CC2)cc1,-6.884,5.644,0.158,93.78,575.71,3,6,11
CC(NC(=O)C(NC(=O)CN1C(=O)C1=O)c1ccccc1)c1ccccc1,-6.8813,0.819,0.606,97.27,365.39,2,4,7
CCCn1cnnc1C1(C(=O)OCC)CCc2cccc(c2)C(=O)N1CCN1CCCc2ccc(Cl)cc21,-6.8768,4.641,0.391,80.56,536.08,0,6,8
COc1ccc(-c2ccc(N3CCN(Cc4ccccc4)CC3)cc2)cc1-c1cc(S(=O)(=O)N2CCCC2)ccn1,-6.8697,5.531,0.279,65.98,568.74,0,6,8
CCCN(Cc1ccccc1)C1CCC(c2ccc(-c3ccc(C)cc3)cc2)O1,-6.8475,6.752,0.446,12.47,385.55,0,2,7
Cc1cc(C)cc(NC(=O)CN2CCN(c3ccc(Oc4ccccc4CN4C(C)CCCC4C)o3)CC2)c1,-6.8432,6.212,0.374,61.19,530.71,1,6,8
CN(C)c1ccc(S(=O)(=O)NN=Cc2cccc(-c3ccc(Cl)c(Cl)c3)c2)cc1,-6.8254,5.039,0.425,61.77,448.38,1,4,6
CCOc1cccc(OC)c1C(=O)Nc1ccc(N2C(=O)NC(c3ccccc3)Sc3cc(C(=O)N(C)C)ccc32)cc1,-6.8167,6.7,0.235,100.21,596.71,2,6,8
Cn1cc(C2CC3CC(OC(=Cc4ccccc4)OCC3=O)C2C2CC(=O)N2c2cnccn2)cn1,-6.8036,3.109,0.524,99.44,485.54,0,7,4
CC(=O)Nc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc(Cl)c(N(=O)=O)c3)CC2)cc1,-6.7957,1.902,0.468,147.0,502.96,1,7,6
COc1ccc(S(=O)(=O)NCC(O)COc2cccc(-c3ccccc3)c2)cc1,-6.7858,3.08,0.563,84.86,413.5,2,5,9
C(=CC(c1ccccc1)c1ccccc1)c1cnc(-c2ccccc2)cn1,-6.7614,5.989,0.443,25.78,348.45,0,2,5
CNC(=O)c1ccc(S(=O)(=O)c2cc(C#N)c(OC(F)(F)F)cc2-c2ccc(NC(=O)c3ccc4c(c3)OCO4)cc2)cc1,-6.7525,5.297,0.282,143.82,623.57,2,8,7
CC(C)C1CCN(C(=O)c2ccc3c(c2)C(C(=O)N2CCC(c4ccc(-c5ccc(C(F)(F)F)cc5)cc4)CC2)C3=O)CC1,-6.7522,7.567,0.283,57.69,602.7,0,3,5
COc1ccc(Cc2nc3cc(C(N)Cc4cc(C)cc(C)c4)ccc3[nH]2)cc1,-6.7513,5.022,0.49,63.93,385.51,2,3,6
CCNC(=O)c1cc(NC(=O)c2cc3ccccc3o2)c(Br)cc1NC(=O)c1ccccc1,-6.7403,5.45,0.324,100.44,506.36,3,4,6
O=C1CCN(C(=O)c2cccc(-n3cc(COC(=O)Nc4ccccc4)nn3)c2)CC1,-6.7341,2.821,0.682,106.42,419.44,1,6,5
Cc1cc(Cl)ccc1NC(=S)NNC(=O)C(=NNc1ccccc1)c1ccccc1,-6.7319,4.482,0.269,77.55,437.96,4,4,5
NS(=O)(=O)Cc1ccc(C(=O)CN2Cc3cnccc3-n3ccc(n3)-c3cccnc32)cc1,-6.7246,2.321,0.453,124.07,460.52,1,7,5
O=C(Nc1ccccc1Br)c1ccc2c(c1)OC(=O)N2CCCCOc1ccccc1,-6.7227,5.469,0.339,73.47,481.35,1,4,8
COc1ccc(Cc2nnc(-c3ccc4c(c3)OCO4)c3ccccc23)cc1OC,-6.7114,4.634,0.487,62.7,400.43,0,6,5
COc1ccc(C2=NC(c3ccc(Cl)cc3)=C(CF)C(=O)N2c2ccc(S(C)(=O)=O)cc2)cc1,-6.6946,5.102,0.369,78.26,498.96,0,5,6
COc1ccc2c(c1)C(Cc1cccc3ccccc13)=C(C)C2(CN(Cc1cccc(Cl)c1)C(=O)NCCCNC(=O)C(C)C)c1ccccc1,-6.678,9.192,0.12,70.67,700.32,2,3,13
CC(C)CN1C(=O)N(Cc2ccccc2)C(=S)Nc2ccc(C(=O)c3ccncc3)cc21,-6.6609,5.108,0.423,65.54,444.56,1,4,6
COc1cccc(C2(c3ccc(-c4ccccc4)cc3)CC(=NCc3ccc(N(C)C)cc3)C(=O)NC2=O)c1,-6.6515,5.402,0.333,71.0,517.63,1,5,7
COc1cc(S(=O)(=O)N2N=C(c3ccccc3)c3ccccc3C2=O)cc(OC)c1OC,-6.6513,3.326,0.443,96.72,452.49,0,7,6
C=CCCN(CCCCCCNc1cc(-c2cccc(-c3ccccc3)c2)[nH]c1-c1ccc(F)cc1)C(=O)NCc1cnn(C)c1,-6.6423,8.649,0.077,77.98,618.8,3,3,16
COc1ccc(Cl)cc1C1CCN(CCc2ccc(-c3ccc4cccc(OC)c4c3)cc2)CC1,-6.6408,7.6,0.269,21.7,486.06,0,3,7
CCN(CC)CCNC(=O)C1CCN(S(=O)(=O)N2CCC(Oc3cccc(C=CC(=O)c4cccc(C(F)(F)F)c4)c3)CC2)CC1,-6.6363,4.86,0.243,99.26,664.79,1,6,13
CC(NC(=S)Nc1ccccc1C(=O)c1ccccc1Cl)=C1CCC2(C)C(C)CCC2C1C,-6.6213,7.614,0.349,41.13,481.11,2,2,4
COc1ccc(C(=O)C(=CNCCc2ccccc2)c2ccccc2)cc1,-6.6182,4.751,0.359,38.33,357.45,1,3,8
Cc1ccc(Cl)c(Oc2ccc(-c3cc(C(=O)O)c(C)cc3N=NN(C)CCN(C)C)cc2)c1,-6.611,6.606,0.275,77.73,481.0,1,5,9
CCC(C)N(C)c1ccc(-c2c(C3=C(C)NC(=O)NC3=O)oc3ccc(C(=O)O)cc23)cc1,-6.6036,4.385,0.403,119.4,447.49,3,5,6
CC(C)N(Cc1ccccc1)C(=O)C1CCN(S(=O)(=O)c2ccc(Cl)cc2Cl)CC1,-6.5847,4.831,0.609,57.69,469.43,0,3,6
O=C(Nc1ccc(NCCCCOc2ccccc2)nc1)c1ccc(-c2ccc(F)cc2)s1,-6.5794,6.473,0.266,63.25,461.56,2,5,10
O=C(NO)Nc1ccc(C2CCc3nOc4ccccc4C(=O)c3n2)cc1,-6.5766,3.105,0.561,112.38,364.36,3,6,2
COCCN1C(=O)C(=CC(=O)c2cc(NC(=O)c3cccc(Cl)c3)cc(C(C)C)c2O)c2ccc(O)cc2C1=O,-6.574,5.022,0.152,133.24,563.01,3,7,8
COC(=O)C(Cc1ccccc1)Cc1cc(OC)c(O)c(OCc2c(O)ccc3ccccc23)c1,-6.5729,5.413,0.317,85.22,472.54,2,6,9
O=C(c1ccccc1)c1ccc2c(c1)CC1(CCOCC1)C(=O)N2,-6.5714,3.209,0.864,55.4,321.38,1,3,2
COc1ccc(S(=O)(=O)NC(=S)NCCc2ccn(-c3cccc(C)c3)n2)cc1,-6.5575,2.585,0.561,85.25,430.56,2,5,7
O=C(O)c1c(CC2CCCC2)c2ccccc2cc1c1ccc(OCCN2CCOCC2)cc1,-6.5527,5.649,0.472,59.0,459.59,1,4,8
O=C(O)CC(=Cc1ccccc1)C(=O)Nc1cccc(S(=O)(=O)N2CCSC2)c1,-6.5468,2.878,0.652,103.78,432.52,2,5,7
CN(c1ccc(Cl)cc1C=CC(=O)NCc1ccccc1)S(=O)(=O)Nc1ccccc1,-6.5439,4.463,0.492,78.51,455.97,2,3,8
Cc1ccc2c(NC(=O)Cc3ccc(Cl)cc3N(Cc3ccc(C(F)(F)F)cc3)C(F)(F)F)cc(C(=O)c3ccc(C(C)C)nc3)nc2c1,-6.5327,9.672,0.094,75.19,699.09,1,5,9
Cc1cccc(C)c1C(=O)CSc1nc2ccccc2n1Cc1ccccc1,-6.5284,5.676,0.316,34.89,386.52,0,3,6
CCN(CC)Cc1cccc(C(=O)Nc2ccccc2CNc2ccc(S(N)(=O)=O)nc2)c1,-6.5252,3.435,0.42,117.42,467.6,3,6,10
CC1=CC(=O)N=C(Nc2cccc(-c3nc4cc(OCc5ccccc5)ccc4[nH]3)c2)N1,-6.5245,4.944,0.359,95.69,423.48,3,5,6
CC(=O)Oc1ccc(C=C2Sc3nc(N(=O)=O)ccc3C2=O)cc1,-6.5242,3.245,0.277,99.4,342.33,0,7,3
CCCCCCn1cc(NC(=O)c2cc(S(C)(=O)=O)c(O)cc2F)nc1-c1nc(F)ccc1C,-6.5196,4.473,0.259,114.18,492.55,2,6,9
CCC(C)C1CCCN(C(=O)CNC(=O)c2ccc(Oc3ccccc3)cc2)C1C(=O)NC(C)(C)C,-6.5055,4.777,0.554,87.74,493.65,2,4,8
CN(CCc1ccc(Cl)cc1)C(=O)COCc1ccc2oc(C(=O)Nc3cc(S(N)(=O)=O)c(F)cn3)cc2c1,-6.5048,3.738,0.293,144.83,575.02,2,7,10
CN1C=C(c2ccc(F)cc2)C(=O)C=C1c1cccc(OCCN(C)C(Cc2c(Cl)cccc2Cl)c2ccccc2)c1,-6.5018,8.46,0.161,34.47,601.55,0,3,10
O=C(CCc1ccccc1)NCc1ccc(S(=O)(=O)NC(=O)Cc2ccccc2)cc1,-6.5007,2.983,0.539,92.34,436.53,2,4,9
O=C1CC(Sc2cccc(O)c2)C2(CCN(S(=O)(=O)Cc3ccccc3)CC2)N1,-6.4771,2.737,0.759,86.71,432.57,2,5,5
CCC(C)C(O)C(Cc1ccccc1)NC(=O)C(c1ccccc1)c1ccc(OC)cc1,-6.4746,4.962,0.477,58.56,431.58,2,3,10
COc1cccc(NC(=O)COC(=O)c2ccccc2C=Cc2cccnc2)c1,-6.4725,4.056,0.618,77.52,388.42,1,5,7
O=C(O)COc1ccc(NC(=O)c2ccc3c(c2)NC(CSCC(=O)c2ccccc2)=NC3=O)cc1,-6.472,3.755,0.278,138.45,503.54,3,7,10
CC(=O)Nc1ccc(OCC(=O)Nc2cccc(C(=O)NCC3CCCC3)c2)cc1,-6.4549,3.583,0.621,96.53,409.49,3,4,8
Cc1nc(N2CCc3ccccc32)Sc2cn(nc3c1CCCC3)CC2CCOCCS(=O)(=O)c1ccc(O)cc1,-6.4487,5.715,0.411,94.8,592.79,1,9,7
CCC(C)C(NC(=O)c1ccc(S(=O)(=O)N2CCN(CCN3CCCCC3)CC2)cc1)C(=O)NCc1ccc(Cl)cc1Cl,-6.4171,4.247,0.356,102.06,652.69,2,6,12
CCCCNC(=O)c1ccc(NC(=S)Nc2ccccc2-c2cccc(C)n2)cc1,-6.4147,5.396,0.354,66.05,418.57,3,3,7
Cn1cccc1CNS(=O)(=O)c1cccc(-n2nc3ccccc3c2C(=O)NC2CC2)c1,-6.409,2.735,0.453,98.02,449.54,2,4,7
CC1=C(n2cnc(Cc3ccccc3)c2)CN(Cc2cccc(Cl)c2)C(=O)c2cccnc2C1,-6.4071,5.652,0.38,51.02,468.99,0,3,5
CCNc1ncc2c(c1NCc1ccc(F)cc1)CC(Cc1ccccc1)CC2=O,-6.4054,5.252,0.566,54.02,403.5,2,4,7
Cc1cccc(N2N=C(c3ccc(OCC4CCNC4)cc3)OC2=O)n1,-6.4021,2.184,0.758,82.18,352.39,1,6,5
CCCC(=O)Nc1ccc(C(=O)COC(=O)CN(c2ccccc2C)c2ccnc3cccnc23)cc1,-6.3903,5.241,0.237,101.49,496.57,1,7,10
